company_name,role,country,date,hr_name
KORSCH AG - Business Unit 21,Production Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 22,Process Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 23,Quality Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 24,Industrial Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 26,Manufacturing Operations Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 27,Process Improvement Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 29,Plant Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 31,Continuous Improvement Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 32,Production Supervisor,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 33,Operations Engineer Manufacturing,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 34,Process Development Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 36,Engineering Executive Manufacturing,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 37,Production Analyst,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 38,Manufacturing Specialist,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 39,Plant Operations Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 40,Manufacturing Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 41,Production Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 42,Process Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 43,Quality Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 46,Manufacturing Operations Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 47,Process Improvement Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 48,Production Executive,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 49,Plant Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 50,Quality Control Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 51,Continuous Improvement Engineer,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 52,Production Supervisor,Germany,30-04-2026,Hiring Manager
KORSCH AG - Business Unit 53,Operations Engineer Manufacturing,Germany,30-04-2026,Hiring Manager
SWS Software & Werkzeugmaschinen Schmidt GmbH,Process Development Engineer,Germany,30-04-2026,Hiring Manager
Endless Industries GmbH,Industrial Production Engineer,Germany,30-04-2026,Hiring Manager
CNC24 GmbH,Engineering Executive Manufacturing,Germany,30-04-2026,Hiring Manager
HANSA-FLEX AG - Business Unit 05,Production Analyst,Germany,30-04-2026,Hiring Manager
AMBEG Dr. J. Dichter GmbH,Manufacturing Specialist,Germany,30-04-2026,Hiring Manager
Silica Verfahrenstechnik GmbH,Plant Operations Engineer,Germany,30-04-2026,Hiring Manager
F.U.R. Wickeltechnologie,Manufacturing Engineer,Germany,30-04-2026,Hiring Manager
CSE GmbH Maschinenbau und Automatisierung,Production Engineer,Germany,30-04-2026,Hiring Manager
Konstruktiv GmbH,Process Engineer,Germany,30-04-2026,Hiring Manager
i4 Automation & Engineering GmbH,Industrial Engineer,Germany,30-04-2026,Hiring Manager
PROCAM Steuerungstechnik GmbH - Business Unit 01,Mechanical Engineer Production,Germany,30-04-2026,Hiring Manager
PROCAM Steuerungstechnik GmbH - Business Unit 02,Manufacturing Operations Engineer,Germany,30-04-2026,Hiring Manager
Fredebold Sondermaschinen GmbH - Business Unit 01,Process Improvement Engineer,Germany,30-04-2026,Hiring Manager
Fredebold Sondermaschinen GmbH - Business Unit 02,Production Executive,Germany,30-04-2026,Hiring Manager
boschen & oetting Automatisierungs-Bau GmbH Automatisierungstechnik - Business Unit 01,Plant Engineer,Germany,30-04-2026,Hiring Manager
boschen & oetting Automatisierungs-Bau GmbH Automatisierungstechnik - Business Unit 02,Quality Control Engineer,Germany,30-04-2026,Hiring Manager
Tornado Antriebstechnik GmbH,Continuous Improvement Engineer,Germany,30-04-2026,Hiring Manager
Horst Meyer - GmbH,Production Supervisor,Germany,30-04-2026,Hiring Manager
HANSA-FLEX AG - Business Unit 06,Operations Engineer Manufacturing,Germany,30-04-2026,Hiring Manager
Roescher GmbH Automatisierungstechnik und Konstruktion,Process Development Engineer,Germany,30-04-2026,Hiring Manager
AVL Tippelmann GmbH,Industrial Production Engineer,Germany,30-04-2026,Hiring Manager
Spirka Schnellflechter GmbH,Engineering Executive Manufacturing,Germany,30-04-2026,Hiring Manager
ENGINEme GmbH,Production Analyst,Germany,30-04-2026,Hiring Manager
Heinz Maschinenbau GmbH & Co KG,Manufacturing Specialist,Germany,30-04-2026,Hiring Manager
Erb GmbH Messtechnik & Co KG,Plant Operations Engineer,Germany,30-04-2026,Hiring Manager
